,url,title,sentiment_mean,num_tweets,wc,negativ_ct,positiv_ct,negativ_percent,positiv_percent,emotionality,positivity
0,http://www.cnn.com/2016/01/06/politics/ted-cruz-birthplace-donald-trump/index.html,Ted Cruz dismisses Trump's 'political noise' over Canadian birth,0.0484848469496,165.0,624,7,9,0.0112179487179,0.0144230769231,0.025641025641,0.00320512820513
1,http://www.huffingtonpost.com/michael-b-keegan/the-deafening-silence-of_b_8924170.html,The Deafening Silence of the GOP Contenders on Trump's Ad,-0.0588235296309,51.0,262,2,3,0.00763358778626,0.0114503816794,0.0190839694656,0.00381679389313
2,http://www.npr.org/2016/01/17/463371479/are-trump-s-values-consistent-with-evangelicals,Are Trump's Values Consistent With Evangelicals?,0.0,36.0,29,0,1,0.0,0.0344827586207,0.0344827586207,0.0344827586207
3,http://www.politico.com/story/2016/01/russell-moore-trump-217939,Evangelical leader blasts Falwell for hosting Trump,0.727272748947,33.0,1207,11,15,0.00911350455675,0.0124275062138,0.0215410107705,0.003314001657
4,http://www.cnn.com/2016/01/20/politics/climate-data-hottest-year-2016-elections-bernie-sanders/index.html,Sanders spotlights new climate data: 'The debate is over',0.0714285746217,28.0,303,2,2,0.00660066006601,0.00660066006601,0.013201320132,0.0
5,http://www.politico.com/story/2016/01/megyn-kelly-donald-trump-218305,"Before withdrawal, Megyn Kelly praised Donald Trump",1.0,25.0,1578,13,8,0.00823827629911,0.00506970849176,0.0133079847909,-0.00316856780735
6,http://www.cnn.com/2016/01/20/politics/donald-trump-sarah-palin-michael-glassner/index.html,Key aide may have cemented Donald Trump-Sarah Palin union,0.228571429849,35.0,212,3,1,0.0141509433962,0.00471698113208,0.0188679245283,-0.00943396226415
7,http://www.cnn.com/2016/02/02/politics/donald-trump-iowa-new-hampshire/index.html,Donald Trump says he did 'very well' in Iowa,0.0,141.0,186,1,0,0.00537634408602,0.0,0.00537634408602,-0.00537634408602
8,http://www.cnn.com/2016/02/02/politics/marco-rubio-new-hampshire-2016/index.html,Rubio: Trump's debate no-show may have helped me in Iowa,0.125,16.0,283,1,3,0.00353356890459,0.0106007067138,0.0141342756184,0.00706713780919
9,http://www.cnn.com/2016/02/04/politics/bernie-sanders-jewish-new-hampshire-primary/index.html,Bernie Sanders could be first Jewish candidate to win primary,0.785714268684,42.0,1694,14,20,0.00826446280992,0.0118063754427,0.0200708382527,0.00354191263282
10,http://www.cnn.com/2016/02/08/politics/donald-trump-bernie-sanders-new-hampshire-poll/index.html,Poll: Trump leads ahead of New Hampshire's vote,0.807692289352,52.0,414,1,0,0.0024154589372,0.0,0.0024154589372,-0.0024154589372
11,http://www.cnn.com/2016/02/02/opinions/cruz-trump-rubio-clinton-in-iowa-gergen/index.html,Who won Iowa? Revenge of the outsiders,0.899999976158,10.0,551,5,4,0.00907441016334,0.00725952813067,0.016333938294,-0.00181488203267
12,http://www.cnn.com/2016/02/04/politics/hillary-clinton-bernie-sanders-progressive-fight/index.html,"Bernie Sanders, Hillary Clinton: What progressive means",0.0270270276815,37.0,463,3,4,0.00647948164147,0.00863930885529,0.0151187904968,0.00215982721382
