,title,url,org,candid_name,num_tweets,num_tweets_all,sentiment_mean,wc,negativ_ct,positiv_ct,negativ_percent,positiv_percent,emotionality,positivity
0,Gingrich: Trump 'messed up' but will survive KKK stumble,http://www.cnn.com/2016/03/01/politics/newt-gingrich-donald-trump-kkk-messed-up/index.html,cnn,Kasich,1,15.0,0.866666674614,380,2,3,0.00526315789474,0.00789473684211,0.0131578947368,0.00263157894737
1,Ron Paul seeks to boost Rand Paul's campaign at Iowa rally,http://www.cnn.com/2016/01/21/politics/ron-paul-rand-paul-iowa-campaign/index.html,cnn,Kasich,1,18.0,0.944444417953,226,1,3,0.00442477876106,0.0132743362832,0.0176991150442,0.00884955752212
2,Clinton knocks Trump's lavish lifestyle,http://www.cnn.com/2016/04/25/politics/hillary-clinton-donald-trump/index.html,cnn,Kasich,1,136.0,0.227941170335,44,0,1,0.0,0.0227272727273,0.0227272727273,0.0227272727273
3,Will Republicans return to Reagan's view on immigration? (Opinion),http://www.cnn.com/2016/02/17/opinions/will-republicans-return-to-reagan-on-immigration-palomarez/index.html,cnn,Kasich,1,73.0,0.0136986300349,993,7,14,0.00704934541793,0.0140986908359,0.0211480362538,0.00704934541793
4,Why security experts called Donald Trump's response to the Belgium attacks 'preposterous',https://www.washingtonpost.com/news/post-nation/wp/2016/03/22/why-security-experts-called-donald-trumps-response-to-the-belgium-attacks-preposterous/,washpo,Kasich,2,115.0,-0.947826087475,678,13,4,0.0191740412979,0.00589970501475,0.0250737463127,-0.0132743362832
5,The memorable quotes of the Republican debate,http://www.cnn.com/2016/02/13/politics/republican-debate-best-quotes/index.html,cnn,Kasich,1,17.0,0.941176474094,271,5,6,0.0184501845018,0.0221402214022,0.0405904059041,0.00369003690037
6,Trump on Bloomberg bid: 'I hope he jumps in',http://www.cnn.com/2016/02/09/politics/donald-trump-michael-bloomberg-2016-election/index.html,cnn,Kasich,1,20.0,1.0,207,5,2,0.024154589372,0.00966183574879,0.0338164251208,-0.0144927536232
7,"Trump rejects white nationalist support, but not voters' anger",http://www.cnn.com/2016/01/13/politics/donald-trump-white-nationalist-robocalls/index.html,cnn,Kasich,1,58.0,-0.051724139601,671,10,10,0.0149031296572,0.0149031296572,0.0298062593145,0.0
8,Donald Trump: 'Ted Cruz is a total liar',http://www.cnn.com/2016/01/31/politics/donald-trump-ted-cruz-health-care-obamacare/index.html,cnn,Kasich,1,197.0,-0.979695439339,570,4,6,0.00701754385965,0.0105263157895,0.0175438596491,0.00350877192982
9,Chris Christie blames presidential campaign for low approval ratings,http://www.cnn.com/2016/01/24/politics/chris-christie-approval-ratings-new-jersey/index.html,cnn,Kasich,1,39.0,0.846153855324,314,1,5,0.0031847133758,0.015923566879,0.0191082802548,0.0127388535032
10,RUBIO STILL IN PLAY GOP candidates fight to  'woo' unbound delegates,http://www.foxnews.com/politics/2016/03/24/battle-for-rubios-unbound-delegates-heats-up-as-campaigns-look-to-convention.html,fox,Kasich,1,39.0,0.923076927662,579,5,7,0.00863557858377,0.0120898100173,0.020725388601,0.00345423143351
11,Poll: Trump leads ahead of New Hampshire's vote,http://www.cnn.com/2016/02/08/politics/donald-trump-bernie-sanders-new-hampshire-poll/index.html,cnn,Kasich,1,52.0,0.807692289352,414,1,0,0.0024154589372,0.0,0.0024154589372,-0.0024154589372
12,Why these Obama voters are backing Donald Trump,http://www.cnn.com/2016/02/08/politics/obama-trump-new-hampshire/index.html,cnn,Kasich,1,58.0,0.431034475565,1185,14,17,0.0118143459916,0.0143459915612,0.0261603375527,0.00253164556962
13,Trump touts wrong evangelical leader as a supporter,http://www.cnn.com/2016/04/12/politics/trump-cruz-endorsement/index.html,cnn,Kasich,1,200.0,0.189999997616,33,0,0,0.0,0.0,0.0,0.0
14,Democrat tries to tie Donald Trump to John McCain in ad,http://www.cnn.com/2016/02/29/politics/donald-trump-john-mccain-2016-election-ad/index.html,cnn,Kasich,1,32.0,-0.375,444,9,5,0.0202702702703,0.0112612612613,0.0315315315315,-0.00900900900901
15,Social Security: The GOP vs. the American People,http://www.huffingtonpost.com/nancy-altman/social-security-the-gop-v_b_9447206.html,huffpo,Kasich,1,16.0,0.125,1274,15,22,0.0117739403454,0.0172684458399,0.0290423861852,0.00549450549451
16,Why Angel Haze is not voting for Donald Trump,http://www.cnn.com/2016/02/16/politics/angel-haze-donald-trump/index.html,cnn,Kasich,1,15.0,0.20000000298,438,2,9,0.00456621004566,0.0205479452055,0.0251141552511,0.0159817351598
17,Trump: Bush 'melts like butter' when he attacks me,http://www.cnn.com/2016/02/08/politics/donald-trump-jeb-bush-melts-like-butter/index.html,cnn,Kasich,2,18.0,-0.0555555559695,281,3,0,0.0106761565836,0.0,0.0106761565836,-0.0106761565836
18,The Tea Partier's Quandary: What To Make Of Trump's Rise?,http://www.npr.org/2016/01/09/462404642/the-tea-partiers-quandary-what-to-make-of-trumps-rise,npr,Kasich,2,38.0,0.0526315793395,1037,11,8,0.0106075216972,0.00771456123433,0.0183220829315,-0.00289296046287
19,Rupert Murdoch praises Donald Trump's 'winning strategy',http://www.cnn.com/2016/01/16/politics/rupert-murdoch-ted-cruz-donald-trump/index.html,cnn,Kasich,1,57.0,0.859649121761,238,6,2,0.0252100840336,0.00840336134454,0.0336134453782,-0.0168067226891
20,"Cruz, two super PACs hit Trump on abortion, 'New York values'",http://www.cnn.com/2016/01/25/politics/cruz-trump-abortion-new-york-values/index.html,cnn,Kasich,2,32.0,0.96875,342,3,7,0.00877192982456,0.0204678362573,0.0292397660819,0.0116959064327
21,"'Trumpertantrum': Trump Says Cruz Cheated In Iowa, Wants Results Overturned",http://www.npr.org/2016/02/03/465459903/trumpertantrum-trump-says-cruz-cheated-in-iowa-wants-results-overturned,npr,Kasich,1,55.0,0.963636338711,746,10,4,0.0134048257373,0.00536193029491,0.0187667560322,-0.00804289544236
22,Political Prediction Markets: GOP nomination not guaranteed for Trump,http://www.cnn.com/2016/03/23/politics/political-prediction-marketplace-republicans-contested-convention/index.html,cnn,Kasich,1,18.0,-0.277777791023,60,0,0,0.0,0.0,0.0,0.0
23,Marco's reboot: How Rubio plans to turn things around,http://www.cnn.com/2016/02/10/politics/marco-rubio-campaign-style-tactics/index.html,cnn,Kasich,1,41.0,0.0975609719753,514,3,5,0.00583657587549,0.00972762645914,0.0155642023346,0.00389105058366
24,Remaining GOP candidates face off in S.C.,http://www.cnn.com/2016/02/13/politics/republican-debate-highlights/index.html,cnn,Kasich,1,90.0,-0.633333325386,571,7,11,0.0122591943958,0.0192644483363,0.031523642732,0.00700525394046
25,Democratic Frustration Drives Surge Of Support For Bernie Sanders,http://www.npr.org/2016/01/22/464013725/democratic-frustration-drives-surge-of-support-for-bernie-sanders,npr,Kasich,1,16.0,0.875,37,2,0,0.0540540540541,0.0,0.0540540540541,-0.0540540540541
26,"Donald Trump, Bernie Sanders hold solid leads in Iowa, CNN/ORC poll finds",http://www.cnn.com/2016/01/21/politics/iowa-poll-hillary-clinton-bernie-sanders-donald-trump-ted-cruz/index.html,cnn,Kasich,4,296.0,0.648648619652,428,2,2,0.00467289719626,0.00467289719626,0.00934579439252,0.0
27,Donald Trump blames snow for cancelled New Hampshire town hall,http://www.cnn.com/2016/02/05/politics/donald-trump-snow-new-hampshire-town-hall/index.html,cnn,Kasich,1,105.0,-0.419047623873,349,3,4,0.00859598853868,0.0114613180516,0.0200573065903,0.00286532951289
28,Hillary and Bernie: The Credibility Gap,http://www.huffingtonpost.com/robert-l-borosage/hillary-and-bernie-the-cr_b_9038508.html,huffpo,Kasich,1,63.0,-0.0158730167896,1398,18,26,0.0128755364807,0.0185979971388,0.0314735336195,0.00572246065808
29,Why these Iowans are choosing Trump over Cruz,http://www.cnn.com/2016/01/30/politics/iowa-trump-cruz-dubuque/index.html,cnn,Kasich,1,69.0,0.188405796885,561,5,4,0.00891265597148,0.00713012477718,0.0160427807487,-0.0017825311943
30,Inside Chris Christie's failed campaign,http://www.cnn.com/2016/02/10/politics/chris-christie-drops-out-2016-election/index.html,cnn,Kasich,1,98.0,0.0102040814236,1985,12,21,0.00604534005038,0.0105793450882,0.0166246851385,0.00453400503778
31,"Poll: Trump, Clinton leading nationwide",http://www.cnn.com/2016/02/17/politics/poll-donald-trump-hillary-clinton-national-quinnipiac/index.html,cnn,Kasich,2,103.0,0.0873786434531,385,2,3,0.00519480519481,0.00779220779221,0.012987012987,0.0025974025974
32,Iowa poll: Ted Cruz has slim lead over Donald Trump,http://www.cnn.com/2016/01/13/politics/iowa-poll-bloomberg-des-moines-register-donald-trump-ted-cruz/index.html,cnn,Kasich,1,14.0,0.214285716414,285,1,1,0.00350877192982,0.00350877192982,0.00701754385965,0.0
33,Christine O'Donnell hits Donald Trump for 'inciting riots',http://www.cnn.com/2016/03/17/politics/christine-odonnell-donald-trump-bash-return/index.html,cnn,Kasich,1,21.0,-0.714285731316,366,2,3,0.00546448087432,0.00819672131148,0.0136612021858,0.00273224043716
34,Cruz campaign aide: Trump running 'the Seinfeld candidacy',http://www.cnn.com/2016/02/10/politics/ted-cruz-donald-trump-seinfeld/index.html,cnn,Kasich,1,28.0,0.107142858207,126,2,2,0.015873015873,0.015873015873,0.031746031746,0.0
35,CNN releases podium order for Thursday's Republican debate,http://www.cnn.com/2016/02/24/politics/republican-debate-houston-cnn-podium-seating/index.html,cnn,Kasich,1,12.0,-0.25,119,0,1,0.0,0.00840336134454,0.00840336134454,0.00840336134454
36,Bush: Trump will create a 'global depression',http://www.cnn.com/2016/01/12/politics/jeb-bush-donald-trump-jerk/index.html,cnn,Kasich,1,39.0,0.0256410259753,487,7,3,0.0143737166324,0.00616016427105,0.0205338809035,-0.0082135523614
37,Trump 'chalking' prompts hand-wringing at Wisconsin campus,http://www.foxnews.com/us/2016/04/21/trump-chalking-prompts-hand-wringing-at-wisconsin-campus.html,fox,Kasich,1,124.0,-0.330645173788,287,7,2,0.0243902439024,0.00696864111498,0.0313588850174,-0.0174216027875
38,Fact Checking Donald Trump on Iran and Chelsea Clinton on Health Care,http://www.cnn.com/2016/01/22/politics/fact-check-trump-iran-clinton-health-care-tapper-origwx-pk/index.html,cnn,Kasich,1,31.0,0.838709652424,128,1,3,0.0078125,0.0234375,0.03125,0.015625
39,Trump autographs crowdsurfing baby at rally,http://www.cnn.com/2016/02/12/politics/donald-trump-autographs-baby-crowdsurfing/index.html,cnn,Kasich,1,86.0,0.0232558138669,97,1,0,0.0103092783505,0.0,0.0103092783505,-0.0103092783505
40,Cruz dares Trump to sue him over abortion ad - Trump towers: GOP primary leader hits polling high - FOX NEWS FIRST: Cruz falls under Trump pummeling - Vatican hits Trump's criticism of pope's trip,http://www.foxnews.com/politics/2016/02/17/cruz-dares-trump-to-sue-him-over-abortion-ad-vows-to-run-it-more-frequently.html,fox,Kasich,1,52.0,0.0,495,10,9,0.020202020202,0.0181818181818,0.0383838383838,-0.0020202020202
41,"Polls: Clinton dominates South; Trump, Cruz scrap for Super Tuesday edge",http://www.cnn.com/2016/02/28/politics/clinton-trump-cruz-super-tuesday-polls/index.html,cnn,Kasich,1,24.0,0.958333313465,278,1,2,0.00359712230216,0.00719424460432,0.0107913669065,0.00359712230216
42,Trump hasn't bought ads for Super Tuesday,http://www.cnn.com/2016/02/25/politics/super-tuesday-donald-trump-ad/index.html,cnn,Kasich,1,29.0,0.931034505367,365,1,4,0.0027397260274,0.0109589041096,0.013698630137,0.00821917808219
43,It's Time for Hillary Clinton to Concede the Democratic Nomination to Bernie Sanders,http://www.huffingtonpost.com/h-a-goodman/its-time-for-hillary-clin_b_9555422.html,huffpo,Kasich,1,22.0,1.0,0,0,0,,,,
44,Hill Republicans walk tight line on Trump,http://www.cnn.com/2016/03/01/politics/donald-trump-hill-republicans/index.html,cnn,Kasich,1,60.0,0.0,1204,11,17,0.00913621262458,0.0141196013289,0.0232558139535,0.00498338870432
45,"Poll: Trump on top, Cruz and Rubio trail",http://www.cnn.com/2016/02/18/politics/donald-trump-ted-cruz-poll-cbs/index.html,cnn,Kasich,2,48.0,1.0,402,3,4,0.00746268656716,0.00995024875622,0.0174129353234,0.00248756218905
46,"In Iowa, Trump plays president in triumphant campaign stop",http://www.cnn.com/2016/01/30/politics/donald-trump-air-force-one-iowa/index.html,cnn,Kasich,1,38.0,0.763157904148,373,1,4,0.00268096514745,0.0107238605898,0.0134048257373,0.00804289544236
47,"MEDIA BUZZ: Trump joins air wars with hard-hitting spot, but will his ad blitz matter? - Campaigns ramp up in final stretch to Iowa, NH - Trump criticized for campaign ad showing &lsquo;southern border&rsquo; using footage of Morocco - CAMPAIGN 2016 LIVE BLOG",http://www.foxnews.com/politics/2016/01/05/trump-joins-air-wars-with-hard-hitting-spot-but-will-his-blitz-matter.html,fox,Kasich,1,54.0,0.203703701496,646,14,4,0.0216718266254,0.0061919504644,0.0278637770898,-0.015479876161
48,Hillary Clinton and Bernie Sanders ready to rumble,http://www.cnn.com/2016/03/13/politics/clinton-sanders-democratic-town-hall-duplicate-2/index.html,cnn,Kasich,1,175.0,-0.885714292526,833,10,11,0.0120048019208,0.0132052821128,0.0252100840336,0.00120048019208
49,Trump jokes that barking dog sound is Hillary Clinton,http://www.cnn.com/2016/01/18/politics/donald-trump-hillary-clinton-dog-barking/index.html,cnn,Kasich,1,40.0,-0.949999988079,272,2,10,0.00735294117647,0.0367647058824,0.0441176470588,0.0294117647059
50,"Winners, losers",http://www.cnn.com/2016/01/15/politics/republican-debate-2016-winners-losers/index.html,cnn,Kasich,2,124.0,0.475806444883,1065,10,17,0.0093896713615,0.0159624413146,0.0253521126761,0.00657276995305
51,Trump: Rubio 'may have lost some momentum',http://www.cnn.com/2016/02/08/politics/trump-rubio-momentum-interview/index.html,cnn,Kasich,2,28.0,0.107142858207,312,1,2,0.00320512820513,0.00641025641026,0.00961538461538,0.00320512820513
52,Trump and Sanders using anger against big money to build their movements,http://www.cnn.com/2016/01/20/politics/donald-trump-bernie-sanders-money-super-pac/index.html,cnn,Kasich,4,113.0,0.0176991149783,634,4,7,0.00630914826498,0.0110410094637,0.0173501577287,0.00473186119874
53,Clinton knocks Sanders' 'details to be forthcoming' health care plan,http://www.cnn.com/2016/01/15/politics/hillary-clinton-bernie-sanders-health-care-plan/index.html,cnn,Kasich,1,27.0,0.407407402992,351,4,4,0.011396011396,0.011396011396,0.022792022792,0.0
54,Bush on Trump: Time to 'punch him back in the nose',http://www.cnn.com/2016/02/17/politics/donald-trump-jeb-bush-punch-glasses/index.html,cnn,Kasich,2,30.0,0.0,386,6,2,0.0155440414508,0.00518134715026,0.020725388601,-0.0103626943005
55,GOP Debate Filled With Tough Exchanges Between Trump And Cruz,http://www.npr.org/2016/01/15/463146182/gop-debate-filled-with-tough-exchanges-between-trump-and-cruz,npr,Kasich,1,19.0,0.105263158679,34,0,0,0.0,0.0,0.0,0.0
56,How many votes will Jeb Bush win in Florida?,http://www.cnn.com/2016/03/14/politics/jeb-bush-florida-primary/index.html,cnn,Kasich,1,21.0,0.904761910439,580,4,3,0.00689655172414,0.0051724137931,0.0120689655172,-0.00172413793103
57,Trump invites two fans on stage at South Carolina rally,http://www.cnn.com/2016/02/16/politics/donald-trump-south-carolina/index.html,cnn,Kasich,1,17.0,0.352941185236,230,0,5,0.0,0.0217391304348,0.0217391304348,0.0217391304348
58,GOP senator: 'Weird' that Trump brags about affairs,http://www.cnn.com/2016/01/27/politics/ben-sasse-donald-trump-affairs-salesman-iowa/index.html,cnn,Kasich,2,26.0,0.269230782986,522,4,9,0.00766283524904,0.0172413793103,0.0249042145594,0.0095785440613
59,Donald Trump regroups ahead of New Hampshire,http://www.cnn.com/2016/02/02/politics/republicans-new-hampshire-iowa-trump-rubio-christie/index.html,cnn,Kasich,1,161.0,0.192546591163,1067,8,22,0.00749765698219,0.020618556701,0.0281162136832,0.0131208997188
60,George W. Bush: Jeb has 'experience and character to be a great president',http://www.cnn.com/2016/02/15/politics/george-w-bush-jeb-bush-south-carolina/index.html,cnn,Kasich,1,113.0,0.345132738352,367,1,8,0.00272479564033,0.0217983651226,0.0245231607629,0.0190735694823
61,Media more open to Trump victory?,http://www.cnn.com/2016/02/25/politics/donald-trump-media-nominee/index.html,cnn,Kasich,1,59.0,0.0677966102958,877,13,9,0.0148232611174,0.0102622576967,0.0250855188141,-0.00456100342075
62,Des Moines Register poll: Trump and Clinton hold narrow leads,http://www.cnn.com/2016/01/30/politics/des-moines-register-poll-donald-trump-ted-cruz-hillary-clinton-bernie-sanders/index.html,cnn,Kasich,2,60.0,0.583333313465,471,3,5,0.00636942675159,0.0106157112527,0.0169851380042,0.00424628450106
63,New Hampshire Newspaper Publisher: 'Trump Has Overturned The Table',http://www.npr.org/2016/02/03/465456103/new-hampshire-newspaper-publisher-trump-has-overturned-the-table,npr,Kasich,1,68.0,1.0,521,6,4,0.0115163147793,0.00767754318618,0.0191938579655,-0.00383877159309
64,5 takeaways from the Republican debate,http://www.cnn.com/2016/03/11/politics/republican-debate-takeaways/index.html,cnn,Kasich,2,273.0,-0.128205135465,1454,17,15,0.0116918844567,0.0103163686382,0.0220082530949,-0.00137551581843
65,"Trump says violence at his rallies not his fault, but Sanders'",http://www.cnn.com/2016/03/13/politics/donald-trump-event-violence/index.html,cnn,Kasich,1,198.0,-0.702020227909,503,11,9,0.0218687872763,0.0178926441352,0.0397614314115,-0.00397614314115
66,Donald Trump asks if he should sue Ted Cruz 'just for fun',http://www.cnn.com/2016/01/23/politics/donald-trump-ted-cruz-lawsuit-canada-citizenship/index.html,cnn,Kasich,3,47.0,0.829787254333,362,5,3,0.0138121546961,0.00828729281768,0.0220994475138,-0.00552486187845
67,The long and winding road to the Republican nomination,http://www.cnn.com/2016/03/19/politics/trump-delegate-math-contested-convention/index.html,cnn,Kasich,3,175.0,0.24571429193,165,1,1,0.00606060606061,0.00606060606061,0.0121212121212,0.0
68,Who pays when Obama uses travel to rip Republicans?,http://www.mcclatchydc.com/news/politics-government/white-house/article55465890.html,mcclatchy,Kasich,1,69.0,-0.0724637657404,1085,4,16,0.0036866359447,0.0147465437788,0.0184331797235,0.0110599078341
69,New York Daily News blasts Trump: 'Dead Clown Walking',http://www.cnn.com/2016/02/02/politics/new-york-daily-news-donald-trump/index.html,cnn,Kasich,2,12.0,1.0,230,2,2,0.00869565217391,0.00869565217391,0.0173913043478,0.0
70,"Clinton White House mulled Trump question, docs show",http://www.cnn.com/2016/04/12/politics/donald-trump-bill-clinton-library-documents/index.html,cnn,Kasich,1,34.0,0.0,31,0,0,0.0,0.0,0.0,0.0
