,url,org,num_tweets
0,http://www.cnn.com/2016/01/06/politics/ted-cruz-birthplace-donald-trump/index.html,cnn,165
1,http://www.huffingtonpost.com/michael-b-keegan/the-deafening-silence-of_b_8924170.html,huffpo,51
2,http://www.npr.org/2016/01/17/463371479/are-trump-s-values-consistent-with-evangelicals,npr,36
3,http://www.politico.com/story/2016/01/russell-moore-trump-217939,politico,33
4,http://www.cnn.com/2016/01/20/politics/climate-data-hottest-year-2016-elections-bernie-sanders/index.html,cnn,28
5,http://www.politico.com/story/2016/01/megyn-kelly-donald-trump-218305,politico,25
6,http://www.cnn.com/2016/01/20/politics/donald-trump-sarah-palin-michael-glassner/index.html,cnn,35
7,http://www.cnn.com/2016/02/02/politics/donald-trump-iowa-new-hampshire/index.html,cnn,141
8,http://www.cnn.com/2016/02/02/politics/marco-rubio-new-hampshire-2016/index.html,cnn,16
9,http://www.cnn.com/2016/02/04/politics/bernie-sanders-jewish-new-hampshire-primary/index.html,cnn,42
10,http://www.cnn.com/2016/02/08/politics/donald-trump-bernie-sanders-new-hampshire-poll/index.html,cnn,52
11,http://www.cnn.com/2016/02/02/opinions/cruz-trump-rubio-clinton-in-iowa-gergen/index.html,cnn,10
12,http://www.cnn.com/2016/02/04/politics/hillary-clinton-bernie-sanders-progressive-fight/index.html,cnn,37
13,http://www.cnn.com/2016/02/06/politics/ted-cruz-super-pac/index.html,cnn,82
14,http://www.cnn.com/2016/02/13/politics/cnn-republican-town-halls-south-carolina/index.html,cnn,108
15,http://www.cnn.com/2016/02/17/politics/bernie-sanders-2016-denmark-democratic-socialism/index.html,cnn,151
16,http://www.cnn.com/2016/02/07/politics/us-presidential-election-candidates-feng-shui/index.html,cnn,27
17,http://www.foxnews.com/world/2016/02/18/pope-tells-trump-building-walls-not-christian-on-way-back-to-walled-in-vatican.html,fox,134
19,http://www.cnn.com/2016/03/06/politics/bernie-sanders-republican-debates-mental-health/index.html,cnn,33
21,http://www.cnn.com/2016/03/12/politics/hillary-clinton-donald-trump-chicago-protests/index.html,cnn,176
22,http://www.cnn.com/2016/03/09/politics/donald-trump-anderson-cooper-primary-florida-ohio/index.html,cnn,103
23,http://www.foxnews.com/politics/2016/03/15/fox-news-projects-clinton-wins-north-carolina-florida-ohio.html,fox,66
26,http://www.cnn.com/2016/04/08/politics/ben-carson-donald-trump-twitter-problem/index.html,cnn,113
